Loan Status,Current Loan Amount,Credit Score,Annual Income,Monthly Debt,Years of Credit History,Number of Open Accounts,Current Credit Balance,Maximum Open Credit
1.0,100012.0,703.0,1297624.0,4033.32,20.6,6.0,82023.0,148852.0
0.0,440704.0,692.0,1256014.0,27841.46,10.6,14.0,28538.0,297792.0
0.0,326744.0,741.0,978215.0,22499.04,18.1,17.0,412471.0,762938.0
1.0,330770.0,695.0,753008.0,14809.17,22.2,13.0,271567.0,729586.0
1.0,198770.0,742.0,1160520.0,2166.38,20.9,4.0,117705.0,382822.0
1.0,129184.0,747.0,1673577.0,3863.08,21.3,8.0,152019.0,633160.0
1.0,224840.0,724.0,1864128.0,18330.63,20.9,16.0,180006.0,930468.0
1.0,264572.0,697.0,723596.0,10455.89,14.1,5.0,234422.0,304304.0
1.0,787864.0,723.0,1866313.0,18352.1,22.3,6.0,251959.0,310684.0
1.0,64570.0,715.0,892126.0,22749.08,13.2,11.0,156522.0,654302.0
1.0,361702.0,702.0,859389.0,7805.96,22.5,7.0,199652.0,412082.0
0.0,283426.0,716.0,1638123.0,14060.57,12.1,11.0,325090.0,595584.0
1.0,337656.0,739.0,1924643.0,33360.39,22.7,15.0,275633.0,816244.0
1.0,227810.0,723.0,916826.0,24601.77,15.4,9.0,294956.0,531146.0
1.0,132836.0,741.0,1051688.0,11743.9,11.9,7.0,104405.0,163790.0
0.0,111100.0,746.0,2110900.0,40634.92,14.2,14.0,386175.0,462418.0
1.0,199166.0,698.0,952945.0,476.52,5.8,3.0,26391.0,132330.0
1.0,614900.0,723.0,1517264.0,25161.32,14.0,14.0,255493.0,511808.0
1.0,166232.0,723.0,1152312.0,18532.98,21.3,6.0,31312.0,258918.0
1.0,184272.0,739.0,2071817.0,18646.41,14.6,12.0,264936.0,372724.0
1.0,317746.0,708.0,738245.0,14211.24,17.5,14.0,235106.0,371382.0
0.0,163218.0,731.0,1090106.0,13808.06,9.3,6.0,92302.0,232826.0
1.0,227612.0,746.0,1232245.0,22693.79,21.3,16.0,196175.0,802670.0
0.0,137522.0,730.0,1365359.0,26965.94,14.5,11.0,409070.0,580470.0
1.0,139942.0,724.0,1394505.0,14991.0,16.0,9.0,222699.0,312180.0
0.0,195448.0,748.0,911924.0,13527.05,12.1,10.0,93632.0,547602.0
1.0,199672.0,748.0,820287.0,23514.78,11.0,16.0,0.0,0.0
1.0,220352.0,728.0,666064.0,6993.71,10.2,9.0,93898.0,382822.0
1.0,460372.0,701.0,1322153.0,10103.44,13.5,8.0,208354.0,334620.0
0.0,214610.0,736.0,1204752.0,22086.93,28.5,5.0,248501.0,426910.0
1.0,288266.0,715.0,1532008.0,34342.5,15.4,19.0,334647.0,647966.0
0.0,220814.0,709.0,617025.0,16659.58,11.8,6.0,144533.0,273900.0
1.0,153626.0,743.0,966587.0,15465.24,25.5,8.0,322126.0,471526.0
1.0,429176.0,651.0,2205387.0,29221.24,20.6,18.0,646532.0,981134.0
0.0,199100.0,731.0,611344.0,3036.2,18.9,4.0,89642.0,134970.0
1.0,87384.0,746.0,1132134.0,330.22,16.2,12.0,81586.0,152878.0
1.0,87934.0,701.0,854316.0,18154.31,7.5,9.0,265430.0,503844.0
1.0,107690.0,725.0,431300.0,1933.63,12.5,5.0,93461.0,157300.0
1.0,486574.0,742.0,1094343.0,26811.28,29.0,10.0,256272.0,358380.0
1.0,325754.0,682.0,975251.0,8777.24,8.9,6.0,302955.0,723250.0
1.0,393030.0,714.0,754300.0,17097.53,11.3,15.0,281827.0,746746.0
1.0,218966.0,727.0,612712.0,7812.04,16.5,10.0,180120.0,569866.0
1.0,110946.0,738.0,718637.0,3964.54,14.5,4.0,137731.0,173140.0
1.0,158730.0,708.0,595669.0,4715.61,16.5,8.0,131613.0,238480.0
1.0,217492.0,735.0,901607.0,21262.9,9.5,14.0,177897.0,1144374.0
1.0,254848.0,700.0,1435412.0,13756.0,15.3,12.0,133437.0,376838.0
1.0,218416.0,716.0,867711.0,12798.59,12.4,12.0,93138.0,194326.0
1.0,212366.0,722.0,695400.0,11647.95,15.7,6.0,232636.0,426888.0
1.0,201190.0,719.0,1698923.0,25767.04,7.6,15.0,202141.0,641234.0
1.0,396242.0,692.0,857907.0,24307.46,15.1,9.0,455886.0,666512.0
0.0,223520.0,722.0,1447800.0,16770.35,18.8,10.0,441465.0,840730.0
0.0,107448.0,741.0,1159836.0,10245.18,14.4,11.0,259464.0,544236.0
1.0,630014.0,693.0,1600313.0,31205.98,17.3,10.0,447716.0,701492.0
1.0,200882.0,737.0,1542192.0,15807.43,22.8,10.0,187207.0,292512.0
0.0,372394.0,728.0,993206.0,11753.02,13.1,5.0,271586.0,337414.0
1.0,783024.0,683.0,2028725.0,13119.12,9.0,12.0,587119.0,968396.0
1.0,352968.0,716.0,1262056.0,14092.87,12.1,13.0,159125.0,229174.0
