Loan Status,Current Loan Amount,Credit Score,Annual Income,Monthly Debt,Years of Credit History,Number of Open Accounts,Current Credit Balance,Maximum Open Credit
1.0,258148.0,678.0,1040383.0,11617.55,19.1,8.0,50654.0,105314.0
1.0,179014.0,719.0,779171.0,8506.11,9.9,9.0,98781.0,295570.0
1.0,97966.0,729.0,1034037.0,19818.9,32.0,6.0,148428.0,339658.0
1.0,538604.0,721.0,2325828.0,1201.75,10.9,8.0,0.0,0.0
1.0,522764.0,666.0,2633666.0,23922.52,17.0,11.0,224542.0,339878.0
1.0,528968.0,684.0,1453367.0,27492.62,24.7,10.0,633308.0,763070.0
1.0,246488.0,725.0,625993.0,10485.34,16.5,12.0,136705.0,328394.0
1.0,147554.0,736.0,807899.0,7473.08,12.6,6.0,48735.0,100254.0
1.0,173074.0,700.0,934078.0,731.69,11.5,4.0,14915.0,62788.0
1.0,173338.0,716.0,1347347.0,13136.6,22.5,6.0,6916.0,174284.0
1.0,110374.0,737.0,667204.0,3052.54,9.8,12.0,105165.0,379368.0
0.0,378620.0,712.0,992978.0,32437.18,20.1,8.0,34010.0,73612.0
0.0,131076.0,739.0,566010.0,5962.01,15.3,5.0,77862.0,122848.0
1.0,720720.0,724.0,1672494.0,30105.12,22.6,17.0,559683.0,968682.0
1.0,617056.0,741.0,1360609.0,29706.69,18.9,11.0,408709.0,595276.0
1.0,177254.0,708.0,1262911.0,21469.43,20.9,11.0,85348.0,236962.0
1.0,66308.0,687.0,839933.0,1567.88,9.1,4.0,59413.0,219076.0
1.0,336534.0,715.0,1219059.0,18285.98,30.3,9.0,353229.0,509322.0
0.0,216062.0,728.0,1399464.0,15044.2,18.8,13.0,105697.0,301444.0
1.0,85888.0,737.0,463657.0,12673.0,10.2,20.0,261573.0,818576.0
1.0,645832.0,731.0,1242657.0,25474.44,29.0,11.0,136534.0,798490.0
1.0,99990.0,733.0,729220.0,2880.4,9.8,9.0,80807.0,574024.0
0.0,448426.0,743.0,776492.0,3144.88,5.4,4.0,121999.0,463188.0
1.0,352242.0,733.0,855608.0,15044.2,15.1,14.0,241623.0,358666.0
0.0,439648.0,721.0,849015.0,18678.33,16.9,19.0,268831.0,572220.0
1.0,432036.0,740.0,1261144.0,6137.76,21.7,4.0,5320.0,25982.0
1.0,310618.0,703.0,2753898.0,40619.91,20.0,11.0,245062.0,426690.0
1.0,397628.0,741.0,2193968.0,26693.29,14.3,11.0,528409.0,825682.0
1.0,88000.0,681.0,885115.0,15268.21,11.3,12.0,138282.0,202422.0
1.0,173976.0,712.0,751260.0,11707.04,19.1,11.0,438140.0,733106.0
1.0,263384.0,740.0,1496592.0,32177.07,11.8,9.0,398031.0,570372.0
1.0,524304.0,713.0,1301823.0,32328.69,13.2,17.0,429647.0,624976.0
1.0,111496.0,730.0,539239.0,2619.72,9.1,9.0,91162.0,229482.0
1.0,266926.0,732.0,673322.0,18853.32,12.7,16.0,139346.0,454498.0
0.0,260414.0,717.0,1068275.0,28487.27,17.9,16.0,266608.0,633864.0
1.0,78254.0,747.0,162222.0,1468.13,21.5,2.0,29602.0,136576.0
1.0,303402.0,679.0,744648.0,12907.08,14.7,14.0,182324.0,483098.0
1.0,55198.0,750.0,785232.0,12236.57,15.6,10.0,298395.0,876920.0
1.0,342276.0,723.0,1487320.0,4759.5,14.9,8.0,104576.0,310486.0
0.0,536030.0,689.0,1119974.0,8054.48,12.4,13.0,250401.0,393404.0
1.0,404602.0,720.0,873563.0,5183.01,16.4,7.0,120441.0,233596.0
1.0,111276.0,702.0,999362.0,21319.71,21.8,9.0,160550.0,371800.0
0.0,333806.0,727.0,807177.0,7062.87,27.0,16.0,304019.0,773674.0
1.0,282986.0,702.0,777233.0,6671.28,15.0,8.0,174990.0,219076.0
1.0,258566.0,729.0,893228.0,17641.31,9.0,15.0,138358.0,335148.0
1.0,322344.0,742.0,1002193.0,8685.66,18.0,6.0,392217.0,617870.0
1.0,475288.0,731.0,1865800.0,21456.7,19.9,14.0,124659.0,244244.0
1.0,155166.0,749.0,1023682.0,17743.72,18.9,8.0,117724.0,355894.0
1.0,177804.0,706.0,575814.0,4107.42,30.5,10.0,101555.0,430738.0
1.0,26488.0,724.0,364135.0,5158.5,8.8,4.0,45524.0,59620.0
1.0,179608.0,709.0,447203.0,9093.02,8.7,6.0,176282.0,284680.0
1.0,172524.0,709.0,1210547.0,6950.58,14.7,7.0,66842.0,265056.0
1.0,560890.0,691.0,1356334.0,31534.68,16.3,11.0,131081.0,354618.0
1.0,101882.0,697.0,481650.0,1721.97,5.9,5.0,64961.0,141680.0
1.0,315392.0,748.0,1595544.0,25661.78,13.3,17.0,209323.0,581240.0
1.0,347908.0,740.0,845082.0,9014.17,15.4,8.0,186124.0,556886.0
1.0,169356.0,703.0,717155.0,3532.1,9.0,4.0,122930.0,159588.0
1.0,594308.0,715.0,1643975.0,36030.27,21.4,9.0,232959.0,321112.0
1.0,711678.0,718.0,1430928.0,28141.66,16.8,15.0,276564.0,771628.0
0.0,129052.0,733.0,468084.0,5480.36,10.1,5.0,45258.0,75526.0
1.0,495902.0,704.0,973370.0,22387.51,12.5,9.0,255436.0,340340.0
1.0,449966.0,725.0,2234457.0,10948.75,17.7,11.0,221730.0,320122.0
1.0,154858.0,683.0,1077319.0,987.62,29.1,6.0,39159.0,187352.0
1.0,306042.0,699.0,890302.0,838.28,5.1,3.0,35454.0,333850.0
1.0,223828.0,740.0,1159836.0,22423.42,21.9,11.0,482068.0,575432.0
1.0,87670.0,719.0,435385.0,9106.7,15.3,14.0,280155.0,659340.0
0.0,173910.0,723.0,867293.0,26885.95,13.1,18.0,386802.0,883410.0
1.0,447348.0,714.0,2105580.0,27372.54,26.8,11.0,309491.0,389070.0
1.0,214962.0,718.0,779722.0,14424.99,10.2,14.0,120270.0,148302.0
0.0,321816.0,706.0,1482304.0,28040.2,23.4,7.0,105070.0,165308.0
1.0,393272.0,678.0,858534.0,8728.41,26.5,10.0,240901.0,345224.0
1.0,429748.0,748.0,1577380.0,25500.85,21.6,11.0,478154.0,907610.0
0.0,222002.0,736.0,575187.0,12078.87,15.6,10.0,228076.0,318956.0
1.0,656304.0,693.0,2611094.0,22412.02,18.5,12.0,311562.0,428956.0
1.0,323928.0,738.0,911259.0,20883.09,14.3,13.0,222395.0,315172.0
1.0,383108.0,722.0,1134414.0,13234.83,14.6,7.0,223782.0,361394.0
0.0,44528.0,724.0,519099.0,10728.16,7.9,9.0,141873.0,189244.0
0.0,89694.0,716.0,774668.0,7875.88,11.1,10.0,29830.0,371338.0
1.0,707058.0,742.0,1597406.0,14376.54,14.9,8.0,93670.0,264528.0
1.0,171996.0,687.0,557004.0,10675.91,6.4,9.0,148846.0,238722.0
0.0,372702.0,692.0,1476813.0,39504.8,14.3,7.0,361855.0,416504.0
1.0,606760.0,728.0,1003428.0,20979.99,21.4,21.0,345382.0,843700.0
1.0,417758.0,748.0,1558684.0,32992.17,18.5,6.0,164236.0,375826.0
0.0,435336.0,728.0,854487.0,18585.04,16.0,13.0,447013.0,703252.0
1.0,758230.0,682.0,2170275.0,35086.16,18.0,11.0,398620.0,651926.0
1.0,389642.0,745.0,1004207.0,20837.3,10.9,12.0,307458.0,487696.0
1.0,89012.0,738.0,864842.0,21548.66,14.0,8.0,39368.0,153450.0
1.0,266992.0,744.0,1481449.0,17036.73,20.7,13.0,287413.0,347006.0
